Annee;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017(p);2018(p)
H-36-Indre;40230;40554;39836;39259;38853;39972;40539;39990;40853;41000;41918;43109;42674;42595;42705;42275;41994;41715;41232;40218;39286;38614;37645;37144;36654;36433;35944;35860;36179;35785
H-37-Indre-et-Loire;102408;103090;102621;101208;99607;100084;101196;100686;102381;105027;107883;111192;111504;111476;110853;110681;111498;112967;112355;109491;107548;108566;107561;107959;108357;107294;107496;108066;109420;110452
H-41-Loir-et-Cher;54891;54786;54811;54522;53226;54280;55103;54717;56474;55970;58021;60268;61057;59263;57181;57624;57524;57964;57475;56568;55771;56342;55813;55205;54839;54664;54914;55162;55285;54950
H-45-Loiret;118080;119095;118459;117957;116060;118546;120602;121937;124624;127256;130287;134966;136657;135992;136041;136142;135548;136252;135662;132384;130222;129450;129370;128055;128250;126790;127553;128811;130988;129590
H-Corse;41564;41592;41588;40977;40794;41263;41370;40515;41468;42694;44730;46522;47142;47130;47335;48202;49001;50155;51466;52589;52334;53290;53868;54288;54237;54403;54693;54483;55064;56387
H-2A-Corse-du-Sud;20381;20443;20861;20748;20037;20285;20657;20073;20535;21072;22147;23046;23183;23782;24076;24633;25040;25702;26382;27113;26209;26920;27144;27167;27366;27380;27694;27882;28365;29436
H-2B-Haute-Corse;21183;21149;20727;20229;20757;20978;20713;20442;20933;21622;22583;23476;23959;23348;23259;23569;23961;24453;25084;25476;26125;26370;26724;27121;26871;27023;26999;26601;26699;26951
H-Grand-Est;1064453;1059644;1053130;1042541;1024729;1033842;1041146;1043159;1049264;1064754;1086023;1111923;1112227;1103608;1088319;1075153;1066330;1062380;1058002;1029702;1004736;1005431;999472;985611;977649;965713;961652;967207;977806;975685
H-08-Ardennes;53463;52929;51919;51119;50073;51356;51719;51840;51780;52385;53056;54113;54088;53146;51634;51387;50790;50117;49866;47760;46481;47144;46266;44623;44055;43644;43317;43043;43415;42664
H-10-Aube;55696;55900;54258;53332;52325;53089;53545;54121;54588;55556;55601;56626;56271;56143;55797;55087;54614;54295;54586;53285;52545;52287;52060;51434;50966;50058;49363;49520;49923;50251
H-51-Marne;118261;119502;119704;118869;116077;116239;116902;117038;116890;119240;119522;122019;122688;122387;120389;118916;118953;118784;118915;116187;114054;114016;112621;112006;110293;109323;109219;109255;110293;110136
H-52-Haute-Marne;40201;40032;39441;38439;37808;38296;38727;38765;39049;39617;39622;40460;40141;40075;38564;38222;37972;37438;36689;35138;34012;34723;34555;33403;33550;32936;32723;33524;33999;33508
H-54-Meurthe-et-Moselle;133027;131186;131187;128518;126476;127650;128547;128207;127862;129685;132825;134388;135446;135535;133106;131256;129785;129539;129059;126875;124999;123885;123509;121592;119834;118985;117347;117621;117724;117183
H-55-Meuse;33136;33287;33205;33084;32432;32646;33194;33426;33225;33346;34164;34906;34576;34344;34015;33658;33080;32488;31755;30890;29492;29770;29077;28867;28487;27987;27602;27833;28011;27926
H-57-Moselle;199626;198364;197040;192060;187505;189455;189929;189448;191434;193504;198913;204087;203474;200747;198852;195311;192729;191842;190133;184499;177717;177687;177012;172967;171735;170011;168782;168309;169689;167968
H-67-Bas-Rhin;215251;216618;213120;214843;212600;214292;216027;218431;222084;225587;230441;238322;238188;237708;234904;233606;234297;235290;236469;231376;226103;227771;228266;227819;228108;224975;225365;229296;233167;235288
H-68-Haut-Rhin;142094;137659;139680;138953;137583;138568;139932;139934;139949;142801;147019;150387;151962;148542;146129;144621;141568;140400;140387;136403;133972;133109;132720;131245;130272;128410;128809;128739;131012;131020
H-88-Vosges;73698;74167;73576;73324;71850;72251;72624;71949;72403;73033;74860;76615;75393;74981;74929;73089;72542;72187;70143;67289;65361;65039;63386;61655;60349;59384;59125;60067;60573;59741
H-Hauts-de-France;1026446;1027933;1024464;1011812;988072;1007386;1019486;1015620;1029846;1060525;1086025;1121631;1126321;1132834;1118066;1107787;1104124;1101986;1105389;1081075;1057186;1056250;1053127;1037704;1032608;1025763;1027926;1033234;1039841;1039366
H-02-Aisne;93117;93577;92239;92111;89410;90008;90533;89713;90690;91749;91512;92594;92593;92075;90779;88762;88060;87961;87816;85377;82656;81694;80217;78575;78033;77325;76892;76568;76168;75393
H-59-Nord;479716;478603;477287;467122;457516;466557;472014;470191;476788;492724;505654;521334;522703;525194;519664;516330;515919;514781;519701;508807;500284;501118;502239;495751;494016;491209;493717;498058;501685;502893
H-60-Oise;132438;133214;132293;131757;127533;130500;131562;130836;133774;135644;137690;141715;142366;141853;140489;139860;138465;139240;139174;136940;131731;131036;130590;129044;128297;127412;127126;125860;126785;126838
H-62-Pas-de-Calais;223137;226065;225797;224543;217938;222772;226038;225403;227221;236454;245032;257535;259391;263676;257944;253817;252691;252698;251938;245014;240445;239853;238627;234214;232867;231702;232028;234043;236005;236048
H-80-Somme;98038;96474;96848;96279;95675;97549;99339;99477;101373;103954;106137;108453;109268;110036;109190;109018;108989;107306;106760;104937;102070;102549;101454;100120;99395;98115;98163;98705;99198;98194
H-Ile-de-France;2754023;2774725;2746296;2683647;2636706;2648460;2643140;2625706;2636062;2684551;2799114;2879485;2925294;2905821;2852265;2852062;2875269;2913418;2956402;2916889;2889229;2884981;2904240;2899734;2914932;2918162;2932781;2963626;3023384;3071529
H-75-Paris;949441;903288;882196;860353;841837;846213;833524;824694;824584;814639;868576;890487;891659;884727;862008;850151;848571;850359;858199;843571;838992;833015;839045;828428;832727;833955;839002;854307;873244;891808
H-77-Seine-et-Marne;169261;177119;182708;189997;188090;188994;189848;189529;194377;201657;206489;219048;219644;221802;218043;217721;220821;225363;229804;227002;223614;224167;224130;231273;231488;232644;233111;238184;246004;247521
H-78-Yvelines;259850;275147;274361;269664;269803;272364;276636;270479;274424;279789;297411;303096;301889;301255;298158;297919;301784;303359;299366;294501;288903;287687;288828;291009;290820;288973;289350;286503;289322;292107
H-91-Essonne;200865;211351;213656;205891;200987;205902;207241;205355;207210;213997;217818;226334;231397;230541;225859;223951;225225;231813;238999;234696;231950;231785;233260;233081;234623;234530;234103;236592;241210;243799
