Annee;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017(p);2018(p)
FemmeNA38:TAZ-Agriculture;50002;52054;55568;58161;60124;62871;67159;71089;76340;81554;67514;68924;67538;65647;65847;66381;65060;64689;60014;63271;63472;63187;64835;66420;67579;67407;68478;70461;71329;71015
FemmeNA38:TBE-Industrie;1352034;1352454;1314457;1261815;1205077;1187969;1179095;1155422;1149736;1148962;1128979;1157199;1156769;1132116;1103207;1082214;1052946;1038563;1016346;995203;947639;919989;914465;912469;904760;898648;892304;889334;889813;893792
FemmeNA38:TFZ-Construction;126127;131055;129916;123171;117225;115890;116724;113110;111111;111355;115913;121721;127481;129341;130266;134489;140577;148217;152048;155598;154168;153512;154363;154725;153603;150687;148486;149214;152478;155671
FemmeNA38:TGU-Tertiairemarchand;3584227;3680531;3738061;3770077;3814631;3902725;3988892;4081106;4205529;4365064;4564426;4782138;4937538;5024944;5070337;5131316;5209846;5332893;5430316;5448880;5415160;5443050;5470278;5422272;5424265;5431006;5473726;5525652;5645571;5687458
FemmeNA38:TOQ-Tertiairenonmarchand;3713509;3772691;3884818;3989346;4080915;4151953;4213311;4243582;4278403;4349378;4439208;4505140;4480833;4599329;4639146;4685442;4755581;4845007;5015642;5071768;5118700;5133759;5146714;5176591;5246511;5287935;5304252;5322281;5323600;5322076
