Annee;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017(p);2018(p)
HommeNA38:TAZ-Agriculture;162436;162745;168609;170286;171384;174227;181633;186823;196175;203375;210041;201731;192354;192631;195066;193877;188434;183779;176284;163508;161400;158130;160767;162758;166126;167786;170286;168535;170703;169747
HommeNA38:TBE-Industrie;3197890;3193898;3115275;2997941;2869016;2857218;2870859;2832024;2831904;2839477;2853717;2908990;2901413;2843825;2775205;2704981;2646286;2601665;2580403;2525502;2406507;2350046;2338293;2319214;2288794;2260578;2231475;2206508;2204374;2211210
HommeNA38:TFZ-Construction;1242394;1248431;1224251;1168841;1109035;1114484;1097940;1053264;1044265;1052948;1087814;1133717;1155579;1153734;1163673;1184869;1226631;1279873;1335858;1342055;1303719;1285852;1275354;1258488;1233424;1189845;1154724;1145890;1169729;1193522
HommeNA38:TGU-Tertiairemarchand;4395270;4435910;4428411;4390865;4382228;4510332;4578969;4641887;4792372;4975781;5202159;5433841;5517777;5550432;5523277;5555877;5613648;5684603;5846089;5709657;5685262;5807682;5858165;5831491;5868953;5898130;6005493;6148705;6318819;6394706
HommeNA38:TOQ-Tertiairenonmarchand;2215915;2239517;2276582;2317492;2341362;2369515;2390403;2390719;2396876;2449751;2496634;2527166;2594353;2606260;2590638;2599056;2602088;2612713;2515302;2491252;2485147;2470092;2462844;2472688;2496585;2501780;2497902;2514373;2513085;2509773
