Annee;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017(p);2018(p)
22-Cotes-dArmor;136788;138631;141534;142792;144765;148165;152531;154371;159383;165465;170938;176008;179267;180025;180711;182416;184287;187148;188836;188291;186439;185423;187150;186985;186936;187413;188385;189107;191673;193868
29-Finistere;246384;249403;252929;255305;256448;261759;269268;274713;281071;289321;296622;302070;306112;311642;312472;314887;315990;318647;320287;319388;316867;318393;319507;317269;316399;315708;316081;317736;322646;323323
35-Ille-et-Vilaine;278420;284489;287922;289016;291864;298996;306082;310940;320071;331253;344648;362123;367695;372946;374730;382142;384133;391524;401479;400286;399598;405372;408307;408489;413193;416125;421802;429205;441219;446111
56-Morbihan;178600;181427;183989;184450;185315;190558;192377;196840;201763;207184;212863;219595;224003;227833;228108;231258;233672;237883;240031;240949;238082;240868;241320;239722;238848;239074;240860;242332;246795;248575
Centre-ValdeLoire;797026;808924;809275;806910;801768;815162;828855;826591;842526;859929;879509;905199;912406;916003;912337;912985;915539;920911;927394;924064;912984;913707;908775;902746;900148;896035;896686;901068;908078;903658
18-Cher;101560;102173;101089;101133;99481;100545;102293;100454;101740;103978;105559;107451;107800;108465;107771;107272;107620;107606;107727;106812;104525;103829;103192;101095;100444;99602;99147;99307;99159;98591
28-Eure-et-Loir;124821;126778;126596;125085;123980;127926;130017;128396;130171;134110;137447;141080;140437;139736;138847;137285;137829;137132;138482;136406;134347;135095;134669;134152;133546;132769;133451;133836;133888;133617
36-Indre;71855;72907;72370;72036;72071;73582;74779;74052;75589;75986;77108;79349;79538;80146;80673;79875;79874;79576;80003;80131;79071;78100;76681;75870;75037;74623;73764;73658;74456;73578
37-Indre-et-Loire;186853;190462;190798;190221;188909;190342;193235;192765;196138;201065;205137;211302;212435;214699;214735;215602;217550;221149;222697;222812;221119;222887;221729;221987;222328;221630;221719;223256;225565;226452
41-Loir-et-Cher;97745;98814;99426;99065;98744;100161;102044;101832;104632;104691;108623;112189;114347;113651;111495;112591;113440;113937;114207;116575;116258;116012;115396;114083;113607;113504;113747;113968;114321;113476
45-Loiret;214192;217790;218996;219370;218583;222606;226487;229092;234256;240099;245635;253828;257849;259306;258816;260360;259226;261511;264278;261328;257664;257784;257108;255559;255186;253907;254858;257043;260689;257944
Corse;66324;67166;68448;69773;69352;70282;70751;70653;72290;75261;77755;81317;83641;85280;87411;88724;90894;92915;95031;97689;98606;100753;101417;102536;103232;103937;104700;105507;106518;108774
2A-Corse-du-Sud;33543;34061;35010;36404;35008;35285;35957;35886;36771;38126;39378;41173;42457;43480;44718;45669;46820;47952;48657;50103;50674;51834;52131;52608;53304;53632;54188;54734;55552;57507
2B-Haute-Corse;32781;33105;33438;33369;34344;34997;34794;34767;35519;37135;38377;40144;41184;41800;42693;43055;44074;44963;46374;47586;47932;48919;49286;49928;49928;50305;50512;50773;50966;51267
Grand-Est;1826645;1830682;1838121;1840582;1825542;1844400;1864859;1869810;1890766;1926848;1967357;2019788;2031294;2032094;2019479;2009055;2004216;2010438;2027124;2000596;1968538;1969246;1962588;1939042;1930786;1919584;1913481;1921229;1939036;1933447
08-Ardennes;88738;88599;87616;86677;85843;87347;88093;87969;88727;90104;92086;93486;94220;93275;91307;91459;90504;90520;90530;88333;87084;87927;86688;84226;84089;83627;82973;82257;82871;81543
10-Aube;102310;103112;100971;100072;98791;99545;99802;100878;101856;103238;104762;106597;107050;107725;106640;106362;105341;105792;106379;105806;104773;103757;103871;102836;102111;101225;100117;99982;101000;101516
51-Marne;204213;206574;207840;208411;204866;205326;208484;209356;211749;215658;218951;223682;226367;226887;224699;223872;224086;225740;227173;224644;221326;221710;220048;218634;216797;215826;215314;216918;218718;218135
52-Haute-Marne;68202;68558;67778;66724;66149;66911;67739;68006;68717;69419;69560;71032;70961;71329;69464;68938;68960;68388;69243;67081;65858;66788;66555;64513;64562;63840;63423;64054;64764;63728
54-Meurthe-et-Moselle;237301;235752;238104;237353;235608;237609;240897;240353;240668;244779;249412;252974;256978;257955;255641;254065;252305;252707;256530;255087;251123;249284;248340;245451;243538;242400;240538;240900;240997;239973
55-Meuse;56599;57178;57749;57994;57495;57919;58919;59510;59394;59890;61029;62636;62443;62561;62013;62056;61232;60827;60499;59658;57977;58022;56907;56546;56101;55641;55024;54935;55078;54663
57-Moselle;322785;323337;326742;324388;318601;323383;326825;327238;332266;339232;347015;358136;359000;358139;357000;354792;353185;354728;359025;353109;346162;345740;344941;338522;336857;334695;333611;333600;336057;332735
67-Bas-Rhin;376605;381900;380840;387442;387537;392047;396074;398413;405648;415035;424951;439771;441301;441814;441640;441281;444767;448009;452200;447414;440277;443732;446033;444733;446024;444551;444880;449736;455992;459466
68-Haut-Rhin;241375;236785;241024;241877;242564;245666;248424;249104;252044;258342;264938;273425;275591;275149;273659;271243;268976;269044;271300;268632;265345;264014;263845;261199;260332;258618;258967;259127;263086;262900
88-Vosges;128517;128887;129457;129644;128088;128647;129602;128983;129697;131151;134653;138049;137383;137260;137416;134987;134860;134683;134245;130832;128613;128272;125360;122382;120375;119161;118634;119720;120473;118788
Hauts-de-France;1767996;1781540;1791904;1788530;1770214;1803899;1832461;1836131;1862920;1911184;1954307;2013582;2035449;2054077;2041765;2035565;2032629;2052530;2077277;2055240;2028341;2028803;2026079;2004290;2003218;2000289;2005582;2018749;2027672;2024168
02-Aisne;160987;162247;161331;162906;160196;161276;162513;161953;163521;165722;165666;168045;168783;168847;167932;165472;165151;166645;168237;165408;161644;159901;158028;155489;155003;154554;154077;153387;152886;151100
59-Nord;833024;839498;841490;834485;826528;840772;855116;856380;869685;894540;917425;943981;952271;960011;953502;951874;948275;960007;976750;966329;957148;960536;963174;953599;953509;953442;957866;968810;973817;975479
60-Oise;228665;230438;232022;232970;229211;234572;237325;237312;242379;245967;249893;257759;260780;262029;259661;259399;258966;261813;264359;262046;255793;255575;254762;252388;252161;251010;250798;249160;250231;249964
62-Pas-de-Calais;370825;375868;381391;383042;378743;387746;394078;395963;400197;413513;426277;444990;451839;459349;458118;456317;456788;461608;462653;455910;453272;452652;451062;445097;445178;445470;446982;451224;454011;452990
80-Somme;174495;173489;175670;175127;175536;179533;183429;184523;187138;191442;195046;198807;201776;203841;202552;202503;203449;202457;205278;205547;200484;200139;199053;197717;197367;195813;195859;196168;196727;194635
Île-de-France;5112065;5156148;5140678;5069263;5021509;5050061;5048068;5048162;5078830;5179388;5338942;5483499;5534397;5521277;5463249;5475730;5536112;5611576;5710301;5675534;5625578;5619032;5654281;5654915;5682872;5695937;5722801;5760215;5860185;5937949
75-Paris;1915964;1832261;1802288;1772066;1747572;1754945;1730948;1722297;1720387;1709022;1775617;1803670;1810697;1809218;1772049;1753431;1756670;1762198;1783443;1770464;1757327;1750863;1760078;1748251;1751789;1756610;1764432;1780744;1815631;1850550
77-Seine-et-Marne;304048;320474;331704;346751;345400;346279;350494;353304;362372;375108;386583;409394;411580;418007;413756;415228;422762;432647;441044;438336;432668;433805;434024;444120;445030;447217;447925;453802;465970;467580
78-Yvelines;474370;499277;500335;497433;502260;506356;513463;507008;514502;524697;550361;563258;540134;540958;543799;542794;550736;555262;554813;548917;539817;538744;541168;541796;545312;539565;539495;534743;539465;543071
91-Essonne;357514;375322;380408;372548;368004;375597;379159;379730;385401;397602;404545;423015;425917;423476;417072;418089;421376;432233;443556;440551;436424;435400;438423;438499;441706;442434;442690;445522;453219;455955
92-Hauts-de-Seine;829334;856701;860243;831381;822060;824121;828290;838090;836477;877017;895486;922866;948082;937042;930090;941508;959362;975199;1013577;1009068;1003779;998665;1010234;1011284;1017174;1021819;1032474;1040971;1060454;1072351
93-Seine-Saint-Denis;467356;479345;470798;461342;452391;451848;451419;447559;456177;472494;481265;498014;511601;511369;506995;515870;524188;540148;552266;546358;547631;552580;554560;557712;566576;591323;594684;601285;612517;624895
94-Val-de-Marne;466838;479262;478934;471715;469485;471444;473072;473988;466441;475244;483778;491173;501734;496808;496075;501428;506479;516574;521027;523566;517888;515859;521738;528483;529761;528246;533637;534575;538866;541158
95-Val-dOise;296641;313506;315968;316027;314337;319471;321223;326186;337073;348204;361307;372109;384652;384399;383413;387382;394539;397315;400575;398274;390044;393116;394056;384770;385524;368723;367464;368573;374063;382389
Normandie;1042426;1054050;1060183;1061780;1054363;1068502;1072835;1070625;1082624;1104444;1132516;1167063;1169381;1180910;1178595;1174551;1178578;1188167;1208325;1195400;1174943;1169115;1168409;1159294;1153904;1151513;1148095;1149837;1151419;1152512
14-Calvados;212371;216487;218274;217183;215757;220286;220896;221015;222554;228288;236508;244533;245942;248568;249217;250024;251666;253619;258509;255503;253554;251434;252342;250439;250718;249624;249845;252121;253615;254376
27-Eure;158474;159282;159237;160645;158585;162173;162633;163829;167307;172038;176256;182886;183875;184494;184189;183363;182955;183207;185558;183209;178546;177525;176122;175040;174612;174858;174563;173393;173902;173853
50-Manche;143367;143406;144475;146464;147115;147194;148433;148562;150075;153782;158406;161160;161209;163645;164122;164209;164596;165941;168534;166637;165696;165706;166272;166530;165055;164969;165420;166638;167378;168447
61-Orne;96233;97320;98363;97266;95840;97437;98480;98065;98970;100225;102945;105648;103432;104226;103060;100448;100099;100165;100998;98820;97855;97035;95164;93565;93441;92299;91669;91861;91361;90409
76-Seine-Maritime;431981;437555;439834;440222;437066;441412;442393;439154;443718;450111;458401;472836;474923;479977;478007;476507;479262;485235;494726;491231;479292;477415;478509;473720;470078;469763;466598;465824;465163;465427
Nouvelle-Aquitaine;1596021;1617773;1631175;1635884;1634848;1664043;1695538;1711708;1750028;1796302;1844646;1897075;1920378;1943785;1939363;1951716;1968416;2001111;2030187;2020209;2005890;2011849;2018067;2019688;2032592;2030148;2037701;2055637;2085155;2099289
16-Charente;104890;106622;106901;108202;109013;109704;111133;112211;114356;116466;118236;119913;120765;121722;121659;122367;121747;123374;123442;122227;120842;121548;120601;120096;120828;120143;120340;121185;122812;122605
17-Charente-Maritime;142590;143668;146395;148399;147494;149913;153755;157555;163153;168218;172846;178829;183271;186113;187175;189120;191144;195219;197220;197325;194947;195837;195261;195175;195450;194403;194186;196962;199664;201112
19-Correze;71197;72383;72598;72840;73139;73784;74875;75756;76298;78211;79598;81367;82229;83487;82572;83725;85316;85923;86804;84769;83696;83918;83117;82524;82771;82487;82097;83134;83201;82442
23-Creuse;31910;32218;32470;32484;31997;32264;32976;33163;34072;34438;35038;35603;36073;36510;36396;35935;36010;35836;35959;35002;34410;34114;33762;33312;33037;32982;32945;33047;32874;32599
24-Dordogne;105697;106779;106943;107586;109557;112452;114161;114642;116372;118896;120059;122014;122826;123698;122533;123448;123715;124956;126386;125185;124111;123277;121901;120943;121061;120485;120420;120681;120899;119950
33-Gironde;433921;440793;443368;440774;439675;447018;455918;458670;470736;483978;499611;519386;524220;531717;531707;534406;541242;553567;565821;566659;569277;573796;579873;586181;595037;598055;604949;615289;631919;644530
40-Landes;97767;98886;98924;99527;99827;100679;101190;101940;104172;107287;110594;112585;113001;115335;115593;116154;117875;119499;122246;122214;122289;122118;123227;122737;123173;123921;123794;124662;125551;126295
47-Lot-et-Garonne;85571;86828;86747;86639;87516;90190;92536;93008;94918;96615;98933;100816;102180;104765;104105;105095;105506;106516;107009;105633;104331;104386;104702;104971;105863;105644;105332;106305;107468;108463
64-Pyrenees-Atlantiques;182146;185495;188065;187788;187752;190389;192558;193416;197325;202347;208119;211820;216400;219439;218990;220753;224184;228656;231439;230874;228230;229648;231044;231181;232205;232109;233778;235835;238238;238421
79-Deux-Sevres;100647;102027;104580;106921;106401;109274;114460;116259;119959;123800;127223;130708;132352;132908;132039;134335;133426;135753;137498;136731;135942;136267;136931;136759;136984;135871;136456;136437;137950;139323
86-Vienne;119266;121445;123781;124965;123609;128936;131818;134344;136803;141543;145234;151536;153587;154578;154581;154306;155704;157559;161415;159647;156941;156648;157974;158011;159018;158031;157551;156047;158774;157828
87-Haute-Vienne;120419;120629;120403;119759;118868;119440;120158;120744;121864;124503;129155;132498;133474;133513;132013;132072;132547;134253;134948;133943;130874;130292;129674;127798;127165;126017;125853;126053;125805;125721
Occitanie;1368161;1395435;1410767;1407671;1414468;1445549;1472440;1481651;1510868;1554493;1599169;1649466;1697690;1733959;1756825;1776170;1804596;1840132;1864461;1858278;1861721;1866018;1873248;1876427;1889153;1897854;1915069;1945504;1974235;1991706
