Annee;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017(p);2018(p)
NA38:TAZ-Agriculture;212438;214799;224177;228447;231508;237098;248792;257912;272515;284929;277555;270655;259892;258278;260913;260258;253494;248468;236298;226779;224872;221317;225602;229178;233705;235193;238764;238996;242032;240762
NA38:TBE-Industrie;4549924;4546352;4429732;4259756;4074093;4045187;4049954;3987446;3981640;3988439;3982696;4066189;4058182;3975941;3878412;3787195;3699232;3640228;3596749;3520705;3354146;3270035;3252758;3231683;3193554;3159226;3123779;3095842;3094187;3105002
NA38:TFZ-Construction;1368521;1379486;1354167;1292012;1226260;1230374;1214664;1166374;1155376;1164303;1203727;1255438;1283060;1283075;1293939;1319358;1367208;1428090;1487906;1497653;1457887;1439364;1429717;1413213;1387027;1340532;1303210;1295104;1322207;1349193
NA38:TGU-Tertiairemarchand;7979497;8116441;8166472;8160942;8196859;8413057;8567861;8722993;8997901;9340845;9766585;10215979;10455315;10575376;10593614;10687193;10823494;11017496;11276405;11158537;11100422;11250732;11328443;11253763;11293218;11329136;11479219;11674357;11964390;12082164
NA38:TOQ-Tertiairenonmarchand;5929424;6012208;6161400;6306838;6422277;6521468;6603714;6634301;6675279;6799129;6935842;7032306;7075186;7205589;7229784;7284498;7357669;7457720;7530944;7563020;7603847;7603851;7609558;7649279;7743096;7789715;7802154;7836654;7836685;7831849
